3127873	4.2	19360256+3815488	15.106	14.06	15.153	6069	4.615	0.163	0.473	0.097	0.104	0.156	0.099	3127873	3127873	3127873	3127873	2501.159	2399.431	2730.487	2617.677	52	52	48	48	0.671529	54964.97755	15.153	1.10318	3.0118	0.65801	1.10014
3221207	3.2	19092181+3819324	11.943	11.43	11.975	6414	4.128	0.094	0.307	0.013	0.011	0.015	0.01	3221207	3221207	3221207	3221207	17600.426	17593.318	17615.401	17660.689	130	130	127	126	0.473822	54953.96209	11.975	1.04611	1.21236	0.88142	0.42352
3232823	3.2	19232466+3819358	15.109	14.105	15.142	6172	4.748	0.143	0.401	0.209	0.207	0.133	0.172	3232823	3232823	3232823	3232823	2758.596	2494.695	2770.258	2949.316	347	347	352	352	0.423916	54964.85537	15.142	0.97262	1.1897	0.37419	0.9046
3342425	3.2	19260388+3827161	15.038	14.069	15.089	6035	4.572	0.155	0.524	0.093	0.085	0.09	0.062	3342425	3342425	3342425	3342425	2692	2447.819	3094.779	3022.267	109	109	105	105	0.393406	54964.94859	15.089	1.04454	2.87736	0.82615	0.99498
3431321	1	19110588+3830143	11.24	10.917	11.197	9589	3.949	0.163	-0.171	0.008	0.007	0.01	0.008	3431321	3431321	3431321	3431321	26046.062	26062.709	26072.609	26139.258	270	274	276	271	1.015049	54954.41938	11.197	0.97663	1.51933	0.35227	0.93853
3437800	4.2	19191301+3833389	13.84	12.849	13.871	6185	4.354	0.133	0.381	0.05	0.074	0.037	0.06	3437800	3437800	3437800	3437800	6291.736	6013.733	6394.537	6505.703	68	61	62	67	0.362668	54964.74868	13.871	0.99936	0.90723	0.45379	0.68981
3454864	1	19365321+3831521	13.695	12.583	13.731	5791	4.285	0.128	0.48	0.023	0.03	0.061	0.036	3454864	3454864	3454864	3454864	6559.341	6216.394	6780.9	6620.013	304	304	300	300	0.294116	54964.78064	13.731	1.18368	2.39931	0.72725	0.13321
3456318	1	19381798+3831147	12.566	12.16	12.629	0	0	0	0.339	0.049	0.041	0.058	0.04	3456318	3456318	3456318	3456318	11879.966	11695.111	12245.245	12053.741	238	242	243	240	0.439021	54964.76279	12.629	0.97249	1.62509	0.34914	1.00387
3732732	4.2	19073130+3853346	13.414	12.538	13.462	5946	4.236	0.114	0.467	0.065	0.059	0.093	0.065	3732732	3732732	3732732	3732732	8097.532	8091.873	7992.197	8220.024	163	163	159	158	0.396187	54953.91823	13.462	1.02798	3.15695	0.82925	1.03682
3745184	4.2	19234900+3852270	15.032	13.505	15.031	4607	4.595	0.075	0.809	0.119	0.157	0.092	0.092	3745184	3745184	3745184	3745184	3101.407	2901.076	3321.559	3300.959	18	18	23	23	0.304243	54964.72798	15.031	1.27128	1.22152	0.93181	0.11556
3756730	4.1	19354438+3852020	14.562	13.43	14.595	5638	4.41	0.142	0.576	0.113	0.084	0.113	0.152	3756730	3756730	3756730	3756730	3898.629	3525.111	4085.059	3846.836	283	278	278	281	0.379176	54964.95873	14.595	0.93742	0.5454	0.35204	0.71546
3832382	4.1	19005905+3858599	15.641	13.996	15.691	4454	4.611	0.076	0.962	0.09	0.112	0.141	0.073	3832382	3832382	3832382	3832382	2024.642	1885.545	1935.534	2015.798	383	380	378	377	0.27265	54964.60475	15.691	1.16464	0.84377	0.8002	0.11947
3833859	4.2	19032972+3854139	11.947	11.016	11.987	6011	4.221	0.074	0.376	0.011	0.011	0.014	0.01	3833859	3833859	3833859	3833859	17463.072	17330.272	17319.361	17380.939	246	251	251	247	0.431744	54954.08421	11.987	0.96833	0.66431	0.44973	0.57379
3837677	4.2	19094270+3855068	15.511	14.317	15.548	5466	4.882	0.107	0.563	0.079	0.093	0.142	0.092	3837677	3837677	3837677	3837677	2329.375	2368.736	2329.624	2439.446	379	374	373	378	0.461984	54964.80396	15.548	1.05685	1.60226	0.78095	0.54857
3848042	3.2	19231294+3857107	14.919	14.051	14.965	6398	4.746	0.143	0.386	0.075	0.071	0.108	0.063	3848042	3848042	3848042	3848042	3323.779	3139.953	3323.46	3545.923	68	69	73	74	0.411445	54964.75639	14.965	0.98716	1.01211	0.44291	0.86432
3853259	4.1	19285873+3855233	13.871	12.375	13.922	4467	4.783	0.034	0.905	0.057	0.06	0.069	0.058	3853259	3853259	3853259	3853259	5876.663	5561.196	6329.061	6190.225	297	303	303	299	0.276646	54964.78008	13.922	0.9792	0.44501	0.4616	0.14544
3936357	4.2	19013860+3902281	12.42	11.143	12.437	5933	4.057	0.096	0.409	0.017	0.018	0.023	0.012	3936357	3936357	3936357	3936357	13826.115	13679.793	13681.414	13800.669	505	503	502	501	0.369153	54953.8513	12.437	1.00033	1.62031	0.98965	0.73239
3953981	1	19254276+3904256	12.597	11.173	12.633	4925	3.632	0.11	0.743	0.023	0.024	0.024	0.02	3953981	3953981	3953981	3953981	12614.974	12229.3	12954.795	12885.777	301	295	296	300	0.492014	54953.82298	12.633	1.13977	1.62426	0.69326	0.19984
