02973509.00	 D	 54958.918312	 6.627610	 13.558	 0.89074	 0.16440	 N/A	 0.13140	 -0.07852	 N/A	 0.99581	raw dtr fit
02997455.00	 D	 54964.787910	 1.129887	 13.800	 0.78246	 0.13164	 N/A	 -0.12316	 0.05996	 N/A	 0.99556	raw dtr fit
02998124.00	 D	 54957.385424	 28.597878	 13.119	 0.86412	 0.04807	 N/A	 0.11525	 -0.00044	 N/A	 1.00467	raw dtr fit
03003991.00	 D	 54964.859040	 7.244790	 13.926	 0.86168	 0.11833	 N/A	 0.10305	 0.00914	 N/A	 0.99515	raw dtr fit
03098194.00	 D	 54969.972427	 30.476456	 13.901	 0.95120	 0.04196	 N/A	 -0.02233	 0.19773	 N/A	 0.99848	raw dtr fit
03102024.00	 D	 54958.697154	 13.782546	 12.809	 0.86202	 0.07820	 N/A	 -0.01737	 0.33447	 N/A	 0.99906	raw dtr fit
03113266.00	 D	 54964.845123	 0.746945	 15.577	 0.77564	 0.09588	 N/A	 -0.11615	 -0.00396	 N/A	 1.00009	raw dtr fit
03115480.00	 D	 54968.194433	 3.693692	 14.469	 0.84829	 0.18035	 N/A	 -0.17384	 0.29397	 N/A	 0.98334	raw dtr fit
03120320.00	 D	 54959.222488	 10.265600	 10.885	 0.84352	 0.11396	 N/A	 0.14013	 0.00259	 N/A	 0.99579	raw dtr fit
03120431.00	 D	 55004.637733	 6.684074	 15.629	 0.80435	 0.09772	 N/A	 -0.15393	 0.12853	 N/A	 1.00039	raw dtr fit
03122985.00	 D	 54965.601974	 0.993461	 14.701	 0.69494	 0.09873	 N/A	 -0.13495	 -0.35964	 N/A	 0.99885	raw dtr fit
03127817.00	 D	 54955.117687	 4.327137	 12.155	 0.88061	 0.31038	 N/A	 -0.01841	 0.00060	 N/A	 0.96847	raw dtr fit
03128793.00	 D	 54970.785440	 24.674260	 14.633	 0.79031	 0.11787	 N/A	 -0.12915	 -0.01394	 N/A	 0.99753	raw dtr fit
03130300.00	 D	 54972.075195	 5.768022	 14.313	 0.73034	 0.12322	 N/A	 -0.18613	 0.23959	 N/A	 0.99546	raw dtr fit
03228959.00	 D	 54965.246613	 0.730875	 15.401	 0.75981	 0.11896	 N/A	 -0.14731	 -0.03364	 N/A	 0.99683	raw dtr fit
03230227.00	 D	 54958.702188	 14.094216	 9.002	 0.67431	 0.05381	 N/A	 0.03014	 -0.13307	 N/A	 1.00438	raw dtr fit
03230578.00	 D	 54958.830074	 12.675156	 13.406	 0.74145	 0.12908	 N/A	 -0.13737	 0.00366	 N/A	 0.99578	raw dtr fit
03230787.00	 D	 54959.187418	 35.468338	 12.553	 0.92191	 0.04091	 N/A	 0.07868	 0.02416	 N/A	 0.99499	raw dtr fit
03239636.00	 D	 54965.326668	 0.528869	 14.662	 0.79891	 0.09994	 N/A	 -0.11404	 0.00129	 N/A	 0.99977	raw dtr fit
03240706.00	 D	 54972.566078	 5.492810	 15.030	 0.75239	 0.11635	 N/A	 -0.13375	 -0.06207	 N/A	 0.99776	raw dtr fit
03241344.00	 D	 54966.427707	 3.912691	 14.756	 0.53496	 0.14944	 N/A	 -0.15503	 0.42795	 N/A	 0.99689	raw dtr fit
03241619.00	 D	 54955.250778	 1.703311	 12.524	 0.70153	 0.28029	 N/A	 0.10597	 -0.00392	 N/A	 0.99459	raw dtr fit
03247294.00	 D	 54966.434890	 67.417980	 13.924	 0.74539	 0.02148	 N/A	 0.00653	 -0.45292	 N/A	 1.00560	raw dtr fit
03247396.00	 D	 54960.650742	 8.809598	 12.759	 0.74357	 0.11915	 N/A	 -0.14433	 -0.02885	 N/A	 0.99677	raw dtr fit
03248033.00	 D	 54954.708424	 2.667775	 12.161	 0.76386	 0.11720	 N/A	 -0.15010	 -0.04200	 N/A	 0.99716	raw dtr fit
03248332.00	 D	 54971.701183	 7.363625	 13.102	 0.84809	 0.13848	 N/A	 -0.04090	 -0.14317	 N/A	 0.99632	raw dtr fit
03323289.00	 D	 54991.865993	 33.693210	 14.898	 0.74393	 0.05810	 N/A	 0.47934	 0.07851	 N/A	 0.99797	raw dtr fit
03327980.00	 D	 54967.106606	 4.231024	 12.119	 0.87758	 0.24111	 N/A	 0.06072	 -0.00510	 N/A	 0.99630	raw dtr fit
03335816.00	 D	 54954.355988	 7.421991	 12.084	 0.82412	 0.12748	 N/A	 -0.05815	 -0.00879	 N/A	 0.99616	raw dtr fit
